"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","8","tests.integration","test_get_recipe_by_id","","","","test_get_recipe_by_id_zero_id","Test GET /recipes/{recipe_id} endpoint with ID zero"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","5","tests.integration.database_client","test_get_all_recipes","TestGetAllRecipes","","","test_get_all_recipes","Test that we can retrieve all recipes"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","3","tests.integration.database_client","test_update_recipe","TestUpdateRecipeIntegration","","","test_update_recipe_partial_ingredients","Test updating only main_ingredients while keeping common_ingredients"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","0","tests.integration.database_client","test_get_recipe_by_id","TestGetRecipeById","","","test_get_recipe_by_id_not_connected","Test get_recipe_by_id when not connected to database"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","2","tests.integration","test_delete_recipe","","","","test_delete_recipe_invalid_id_format","Test DELETE endpoint with invalid ID format"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","1","tests.integration.infrastructure","test_database_setup","TestDatabaseInfrastructure","","","test_database_connection","Test that we can connect to the database"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","8","tests.integration","test_update_recipe","TestUpdateRecipeEndpointIntegration","","","test_patch_recipe_not_found","Test PATCH with non-existent recipe ID"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","6","tests.integration.infrastructure","test_database_setup","TestDatabaseInfrastructure","","","test_recipes_table_schema","Test that the recipes table has the correct schema"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","9","tests.integration","test_update_recipe","TestUpdateRecipeEndpointIntegration","","","test_patch_recipe_empty_payload","Test PATCH with empty payload"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","4","tests.integration","test_update_recipe","TestUpdateRecipeEndpointIntegration","","","test_patch_recipe_invalid_ingredient_structure","Test PATCH with invalid ingredient structure"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","3","tests.integration.infrastructure","test_database_setup","TestDatabaseInfrastructure","","","test_recipes_table_exists","Test that the recipes table exists"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","5","tests.integration.database_client","test_get_recipe_by_id","TestGetRecipeById","","","test_get_recipe_by_id_not_found","Test get_recipe_by_id with non-existent ID"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","11","tests.integration","test_update_recipe","TestUpdateRecipeEndpointIntegration","","","test_patch_recipe_partial_update","Test PATCH with only one field update"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","10","tests.integration","test_get_recipe_by_id","","","","test_get_recipe_by_id_negative_id","Test GET /recipes/{recipe_id} endpoint with negative ID"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","3","tests.integration.database_client","test_update_recipe","TestUpdateRecipeIntegration","","","test_update_recipe_ingredients","Test updating recipe ingredients"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","3","tests.integration.database_client","test_update_recipe","TestUpdateRecipeIntegration","","","test_update_recipe_empty_updates","Test updating with no valid fields"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","3","tests.integration.database_client","test_update_recipe","TestUpdateRecipeIntegration","","","test_update_recipe_all_fields","Test updating all recipe fields"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","6","tests.integration.database_client","test_get_recipe_by_id","TestGetRecipeById","","","test_get_recipe_by_id_success","Test that we can retrieve a specific recipe by ID"
"passed","Thu May 14 20:49:17 UTC 2026","Thu May 14 20:49:17 UTC 2026","11","tests.integration","test_update_recipe","TestUpdateRecipeEndpointIntegration","","","test_patch_recipe_with_ingredients","Test updating recipe ingredients via PATCH endpoint"
