"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_meal_plan_database_client","TestAddMealPlanEntry","","","test_add_meal_plan_entry_not_connected",""
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","2","tests.unit","test_endpoints","TestDeleteRecipeEndpoint","","","test_delete_recipe_success","Test successful recipe deletion"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","0","tests.unit","test_database_client","TestDatabaseClientInitialization","","","test_init_with_parameters","Test initialization with explicit parameters"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_error_handling","TestEdgeCases","","","test_get_recipes_empty_result","Test handling when database returns empty recipe list"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_meal_plan_database_client","TestGetMealPlanByWeek","","","test_get_meal_plan_by_week_success",""
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_endpoints","TestGetRecipeByIdEndpoint","","","test_get_recipe_by_id_success","Test successful retrieval of a recipe by ID"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_endpoints","TestUpdateRecipeEndpoint","","","test_update_recipe_invalid_id","Test update with invalid recipe ID"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","0","tests.unit","test_database_client","TestDatabaseClientConnection","","","test_connect_failure","Test database connection failure"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","3","tests.unit","test_meal_plan_endpoints","TestCreateMealPlanEntryEndpoint","","","test_create_entry_success",""
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","3","tests.unit","test_endpoints","TestCreateRecipeEndpoint","","","test_create_recipe_connection_failure","Test handling of database connection failure during recipe creation"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_models","TestIngredientModel","","","test_ingredient_invalid_quantity_type","Test that invalid quantity types raise ValidationError"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_meal_plan_database_client","TestAddMealPlanEntry","","","test_add_meal_plan_entry_success",""
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_endpoints","TestUpdateRecipeEndpoint","","","test_update_recipe_database_error","Test handling of database errors during update"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientDeleteRecipe","","","test_delete_recipe_no_rows_affected","Test delete_recipe when no rows are affected despite recipe existing"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","0","tests.unit","test_database_client","TestUpdateRecipeMethod","","","test_update_recipe_empty_updates","Test update with no valid fields to update"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_meal_plan_database_client","TestDeleteMealPlanEntry","","","test_delete_meal_plan_entry_not_found",""
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","0","tests.unit","test_database_client","TestDatabaseClientAddRecipe","","","test_add_recipe_not_connected","Test add_recipe when not connected to database"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","1","tests.unit","test_meal_plan_endpoints","TestGetMealPlanEndpoint","","","test_get_meal_plan_missing_week_start",""
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestUpdateRecipeMethod","","","test_update_recipe_no_connection","Test update when not connected to database"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","2","tests.unit","test_endpoints","TestDeleteRecipeEndpoint","","","test_delete_recipe_connection_failure","Test handling of database connection failure during recipe deletion"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientDeleteRecipe","","","test_delete_recipe_success","Test successful recipe deletion"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","3","tests.unit","test_error_handling","TestEdgeCases","","","test_create_recipe_with_edge_case_values","Test recipe creation with edge case values"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientGetAllRecipes","","","test_get_all_recipes_success","Test successful retrieval of all recipes"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","0","tests.unit","test_database_client","TestDatabaseClientConnection","","","test_is_connected_true","Test is_connected when connection is active"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_meal_plan_endpoints","TestGetMealPlanEndpoint","","","test_get_meal_plan_success",""
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","3","tests.unit","test_endpoints","TestUpdateRecipeEndpoint","","","test_update_recipe_not_found","Test update when recipe doesn't exist"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientDeleteRecipe","","","test_delete_recipe_not_found","Test deleting a non-existent recipe"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientGetRecipeById","","","test_get_recipe_by_id_not_found","Test get_recipe_by_id when recipe doesn't exist"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_meal_plan_endpoints","TestDeleteMealPlanEntryEndpoint","","","test_delete_entry_success",""
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","42","tests.unit","test_endpoints","TestGetAllRecipesEndpoint","","","test_get_all_recipes_success","Test successful retrieval of all recipes"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","0","tests.unit","test_models","TestRecipeCreateModel","","","test_valid_recipe_create","Test creating a valid recipe"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_database_client","TestDatabaseClientGetRecipeById","","","test_get_recipe_by_id_success","Test successful retrieval of recipe by ID"
"passed","Thu May 14 20:48:34 UTC 2026","Thu May 14 20:48:34 UTC 2026","1","tests.unit","test_endpoints","TestCreateRecipeEndpoint","","","test_create_recipe_invalid_data","Test validation of invalid recipe data"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","3","tests.unit","test_endpoints","TestUpdateRecipeEndpoint","","","test_update_recipe_no_fields","Test update with no fields provided"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_health","","","","test_health_endpoint","Test the health check endpoint"
"passed","Thu May 14 20:48:35 UTC 2026","Thu May 14 20:48:35 UTC 2026","2","tests.unit","test_meal_plan_endpoints","TestGetMealPlanEndpoint","","","test_get_meal_plan_connection_failure",""
