"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","1","","recipeService","","recipeService updateRecipe should handle network errors when updating a recipe","","recipeService updateRecipe should handle network errors when updating a recipe",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","57","","useRecipes hook","","useRecipes hook Initial state and data fetching should handle empty recipe list","","useRecipes hook Initial state and data fetching should handle empty recipe list",""
"passed","Thu May 14 20:49:30 UTC 2026","Thu May 14 20:49:30 UTC 2026","54","","useShoppingList","","useShoppingList regenerate function can be called to regenerate list","","useShoppingList regenerate function can be called to regenerate list",""
"passed","Thu May 14 20:49:31 UTC 2026","Thu May 14 20:49:31 UTC 2026","2","","useRecipeModals hook","","useRecipeModals hook Detail Modal should open detail modal and set selected recipe","","useRecipeModals hook Detail Modal should open detail modal and set selected recipe",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","2","","recipeService","","recipeService getRecipeById should return complete recipe structure","","recipeService getRecipeById should return complete recipe structure",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","56","","useRecipes hook","","useRecipes hook Multiple operations should handle add and delete operations together","","useRecipes hook Multiple operations should handle add and delete operations together",""
"passed","Thu May 14 20:49:31 UTC 2026","Thu May 14 20:49:31 UTC 2026","7","","mealPlanService","","mealPlanService getMealPlan should throw on HTTP error","","mealPlanService getMealPlan should throw on HTTP error",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","1","","recipeService","","recipeService Error Logging should always log errors to console when they occur","","recipeService Error Logging should always log errors to console when they occur",""
"passed","Thu May 14 20:49:31 UTC 2026","Thu May 14 20:49:31 UTC 2026","0","","mealPlanService","","mealPlanService addMealPlanEntry should throw on HTTP error","","mealPlanService addMealPlanEntry should throw on HTTP error",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","54","","useRecipes hook","","useRecipes hook addRecipe should add recipe to empty list","","useRecipes hook addRecipe should add recipe to empty list",""
"passed","Thu May 14 20:49:30 UTC 2026","Thu May 14 20:49:30 UTC 2026","55","","getMonday","","useMealPlanner should navigate to previous week","","useMealPlanner should navigate to previous week",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","4","","recipeService","","recipeService getRecipeById should throw error when recipe is not found (404)","","recipeService getRecipeById should throw error when recipe is not found (404)",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","1","","shoppingListService","","shoppingListService aggregateIngredients handles complex multi-recipe scenario","","shoppingListService aggregateIngredients handles complex multi-recipe scenario",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","0","","shoppingListService","","shoppingListService aggregateIngredients handles recipes with no ingredients","","shoppingListService aggregateIngredients handles recipes with no ingredients",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","1","","shoppingListService","","shoppingListService aggregateIngredients assigns correct IDs to items","","shoppingListService aggregateIngredients assigns correct IDs to items",""
"passed","Thu May 14 20:49:31 UTC 2026","Thu May 14 20:49:31 UTC 2026","2","","mealPlanService","","mealPlanService getMealPlan should throw on network error","","mealPlanService getMealPlan should throw on network error",""
"passed","Thu May 14 20:49:28 UTC 2026","Thu May 14 20:49:28 UTC 2026","1","","recipeService","","recipeService getRecipeById should handle network errors","","recipeService getRecipeById should handle network errors",""
