"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","1","","recipeService","","recipeService getRecipeById should fetch a single recipe successfully","","recipeService getRecipeById should fetch a single recipe successfully",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","8","","QuickActions Component","","QuickActions Component works with mobile menu state","","QuickActions Component works with mobile menu state",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","83","","MealPlanner","","MealPlanner should display calendar after loading","","MealPlanner should display calendar after loading",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","52","","getMonday","","useMealPlanner should handle error when loading recipes fails","","useMealPlanner should handle error when loading recipes fails",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","72","","ShoppingList Component","","ShoppingList Component renders ingredients in the table","","ShoppingList Component renders ingredients in the table",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","66","","Recipes Component","","Recipes Component Successful Data Fetching should render recipes after successful fetch","","Recipes Component Successful Data Fetching should render recipes after successful fetch",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","5","","RecipeCard","","RecipeCard Category Emojis should handle case-insensitive category matching","","RecipeCard Category Emojis should handle case-insensitive category matching",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","53","","getMonday","","useMealPlanner should handle error when loading meal plan fails","","useMealPlanner should handle error when loading meal plan fails",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","17","","ShoppingList Component","","ShoppingList Component displays loading state","","ShoppingList Component displays loading state",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","25","","MealPlanner","","MealPlanner Meal Plan Navigation and Display should display all meal slots","","MealPlanner Meal Plan Navigation and Display should display all meal slots",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","168","","Recipes Component","","Recipes Component Edit Recipe Functionality should close edit modal after successful update","","Recipes Component Edit Recipe Functionality should close edit modal after successful update",""
"passed","Thu May 14 21:09:31 UTC 2026","Thu May 14 21:09:31 UTC 2026","2","","useShoppingList","","useShoppingList initial state initializes weekStart to current Monday","","useShoppingList initial state initializes weekStart to current Monday",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","17","","RecipeDetailModal Component","","RecipeDetailModal Component should display Ingredients section title","","RecipeDetailModal Component should display Ingredients section title",""
"passed","Thu May 14 21:09:30 UTC 2026","Thu May 14 21:09:30 UTC 2026","1","","shoppingListService","","shoppingListService aggregateIngredients handles complex multi-recipe scenario","","shoppingListService aggregateIngredients handles complex multi-recipe scenario",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","57","","Recipes Component","","Recipes Component Search Functionality should update search results dynamically","","Recipes Component Search Functionality should update search results dynamically",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","3","","ShoppingList Component","","ShoppingList Component displays error message when error occurs","","ShoppingList Component displays error message when error occurs",""
"passed","Thu May 14 21:09:26 UTC 2026","Thu May 14 21:09:26 UTC 2026","71","","AddRecipeModal Component","","AddRecipeModal Component should include common ingredients in submission","","AddRecipeModal Component should include common ingredients in submission",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","7","","TopBar Component","","TopBar Component renders user section with custom user","","TopBar Component renders user section with custom user",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","2","","StatusMessage Component","","StatusMessage Component renders error message with icon when error occurs","","StatusMessage Component renders error message with icon when error occurs",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","0","","getMonday","","getMonday should reset hours to 00:00:00","","getMonday should reset hours to 00:00:00",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","24","","RecipeDetailModal Component","","RecipeDetailModal Component should display portions with plural text for multiple portions","","RecipeDetailModal Component should display portions with plural text for multiple portions",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","25","","Categories Component","","Categories Component shows no active category when no location state","","Categories Component shows no active category when no location state",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","3","","RecipeSelectorModal","","RecipeSelectorModal should call onClose when close button is clicked","","RecipeSelectorModal should call onClose when close button is clicked",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","56","","RecipeCard","","RecipeCard Rendering should display delete button","","RecipeCard Rendering should display delete button",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","11","","Categories Component","","Categories Component works without onCategoryClick prop","","Categories Component works without onCategoryClick prop",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","3","","RecipeSelectorModal","","RecipeSelectorModal should not render when isOpen is false","","RecipeSelectorModal should not render when isOpen is false",""
"passed","Thu May 14 21:09:30 UTC 2026","Thu May 14 21:09:30 UTC 2026","1","","shoppingListService","","shoppingListService aggregateIngredients assigns correct IDs to items","","shoppingListService aggregateIngredients assigns correct IDs to items",""
"passed","Thu May 14 21:09:26 UTC 2026","Thu May 14 21:09:26 UTC 2026","50","","AddRecipeModal Component","","AddRecipeModal Component should include foto_url when provided","","AddRecipeModal Component should include foto_url when provided",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","20","","MealPlanner","","MealPlanner Meal Plan Navigation and Display should handle unknown meal slot by defaulting to dinner category","","MealPlanner Meal Plan Navigation and Display should handle unknown meal slot by defaulting to dinner category",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","0","","getMonday","","getMonday should return Monday when date is Monday","","getMonday should return Monday when date is Monday",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","11","","RecipeCard","","RecipeCard Rendering should display portion correctly for single portion","","RecipeCard Rendering should display portion correctly for single portion",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","1","","recipeService","","recipeService getRecipeById should log error with correct recipe id to console on failure","","recipeService getRecipeById should log error with correct recipe id to console on failure",""
"passed","Thu May 14 21:09:29 UTC 2026","Thu May 14 21:09:29 UTC 2026","53","","EditRecipeModal Component","","EditRecipeModal Component renders modal with recipe data when isOpen and recipe are provided","","EditRecipeModal Component renders modal with recipe data when isOpen and recipe are provided",""
"passed","Thu May 14 21:09:29 UTC 2026","Thu May 14 21:09:29 UTC 2026","82","","EditRecipeModal Component","","EditRecipeModal Component calls onEditRecipe with updated recipe on form submission","","EditRecipeModal Component calls onEditRecipe with updated recipe on form submission",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","7","","Categories Component","","Categories Component renders category icons","","Categories Component renders category icons",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","9","","RecipeDetailModal Component","","RecipeDetailModal Component should render clock icon SVG for prep time","","RecipeDetailModal Component should render clock icon SVG for prep time",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","2","","StatusMessage Component","","StatusMessage Component shows loading message even if error is present (loading takes precedence)","","StatusMessage Component shows loading message even if error is present (loading takes precedence)",""
"passed","Thu May 14 21:09:26 UTC 2026","Thu May 14 21:09:26 UTC 2026","33","","AddRecipeModal Component","","AddRecipeModal Component should handle all category options","","AddRecipeModal Component should handle all category options",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","3","","RecipeSelectorModal","","RecipeSelectorModal should show no results message when search yields nothing","","RecipeSelectorModal should show no results message when search yields nothing",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","94","","getMonday","","useMealPlanner should handle error when adding entry fails","","useMealPlanner should handle error when adding entry fails",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","0","","StatusMessage Component","","StatusMessage Component does not render when loading is false and error is empty string","","StatusMessage Component does not render when loading is false and error is empty string",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","5","","Categories Component","","Categories Component applies active styling correctly with CSS class and styles","","Categories Component applies active styling correctly with CSS class and styles",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","1","","StatusMessage Component","","StatusMessage Component returns null when not loading and no error","","StatusMessage Component returns null when not loading and no error",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","4","","RecipeGrid Component","","RecipeGrid Component filters recipes case-insensitively","","RecipeGrid Component filters recipes case-insensitively",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","16","","RecipeDetailModal Component","","RecipeDetailModal Component should call onClose when clicking backdrop","","RecipeDetailModal Component should call onClose when clicking backdrop",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","91","","Recipes Component","","Recipes Component Edit Recipe Functionality should close detail modal when edit is clicked","","Recipes Component Edit Recipe Functionality should close detail modal when edit is clicked",""
"passed","Thu May 14 21:09:34 UTC 2026","Thu May 14 21:09:34 UTC 2026","16","","RecipeGrid Component","","RecipeGrid Component renders recipe cards when recipes are provided","","RecipeGrid Component renders recipe cards when recipes are provided",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","43","","ShoppingList Component","","ShoppingList Component renders main ingredients table","","ShoppingList Component renders main ingredients table",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","54","","getMonday","","useMealPlanner should load meal plan and recipes on mount","","useMealPlanner should load meal plan and recipes on mount",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","1","","recipeService","","recipeService getRecipeById should return complete recipe structure","","recipeService getRecipeById should return complete recipe structure",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","22","","RecipeDetailModal Component","","RecipeDetailModal Component should display ingredient quantities and units","","RecipeDetailModal Component should display ingredient quantities and units",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","162","","Recipes Component","","Recipes Component Edit Recipe Functionality should close edit modal when cancel button is clicked","","Recipes Component Edit Recipe Functionality should close edit modal when cancel button is clicked",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","7","","Categories Component","","Categories Component renders category counts with correct values","","Categories Component renders category counts with correct values",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","12","","MealPlanner","","MealPlanner should display error state","","MealPlanner should display error state",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","1","","useRecipeModals hook","","useRecipeModals hook Add Recipe Modal should open add recipe modal","","useRecipeModals hook Add Recipe Modal should open add recipe modal",""
"passed","Thu May 14 21:09:25 UTC 2026","Thu May 14 21:09:25 UTC 2026","56","","useRecipes hook","","useRecipes hook deleteRecipe should delete a recipe successfully","","useRecipes hook deleteRecipe should delete a recipe successfully",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","54","","getMonday","","useMealPlanner should get entry by day of week and meal slot","","useMealPlanner should get entry by day of week and meal slot",""
"passed","Thu May 14 21:09:31 UTC 2026","Thu May 14 21:09:31 UTC 2026","54","","App Component","","App Component handles quick action clicks and closes mobile menu","","App Component handles quick action clicks and closes mobile menu",""
"passed","Thu May 14 21:09:32 UTC 2026","Thu May 14 21:09:32 UTC 2026","89","","Categories Component","","Categories Component has proper accessibility attributes","","Categories Component has proper accessibility attributes",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","53","","getMonday","","useMealPlanner should reload meal plan after removing entry","","useMealPlanner should reload meal plan after removing entry",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","4","","RecipeSelectorModal","","RecipeSelectorModal should filter recipes by category","","RecipeSelectorModal should filter recipes by category",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","20","","MealPlanner","","MealPlanner Meal Plan Navigation and Display should filter recipes by category when lunch slot selected","","MealPlanner Meal Plan Navigation and Display should filter recipes by category when lunch slot selected",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","11","","RecipeDetailModal Component","","RecipeDetailModal Component should render all main ingredients in list","","RecipeDetailModal Component should render all main ingredients in list",""
"passed","Thu May 14 21:09:31 UTC 2026","Thu May 14 21:09:31 UTC 2026","10","","useShoppingList","","useShoppingList initial state initializes with loading state","","useShoppingList initial state initializes with loading state",""
"passed","Thu May 14 21:09:28 UTC 2026","Thu May 14 21:09:28 UTC 2026","14","","RecipeDetailModal Component","","RecipeDetailModal Component should have correct category badge class for lunch","","RecipeDetailModal Component should have correct category badge class for lunch",""
"passed","Thu May 14 21:09:33 UTC 2026","Thu May 14 21:09:33 UTC 2026","55","","getMonday","","useMealPlanner should navigate to next week","","useMealPlanner should navigate to next week",""
